stateID,dimRec,Sample,LogLik,LogLik_true,rankTrue,numTrials
d2s0,3,8464,-18146.6665912,-18148.9297709,1,100
d2s0,3,8649,-18544.971395,-18547.21435,1,100
d2s0,3,8836,-18946.5298465,-18948.7738813,1,100
d2s0,3,9025,-19351.2855637,-19353.5684344,1,100
d2s0,3,9216,-19762.5337141,-19764.8448239,1,100
d2s0,3,9261,-19859.4658896,-19861.8034118,1,100
d2s0,3,9409,-20177.2040174,-20179.5392411,1,100
d2s0,3,9604,-20592.898864,-20595.2097502,1,100
d2s0,3,9801,-21012.0966947,-21014.4039995,1,100
d2s0,3,10000,-21436.206503,-21438.5525931,1,100
d2s0,3,10201,-21868.0787608,-21870.4621325,1,100
d2s0,3,10404,-22304.6528917,-22307.0744942,1,100
d2s0,3,10609,-22746.7956806,-22749.246746,1,100
d2s0,3,10648,-22831.0601594,-22833.4944384,1,100
d2s0,3,10816,-23191.2059354,-23193.6706934,1,100
d2s0,3,11025,-23638.1039362,-23640.5541443,1,100
d2s0,3,11236,-24094.0750254,-24096.5347397,1,100
d2s0,3,11449,-24548.822154,-24551.2862707,1,100
d2s0,3,11664,-25010.0853104,-25012.4977895,1,100
d2s0,3,11881,-25476.678439,-25479.1126977,1,100
d2s0,3,12100,-25947.5941676,-25950.030301,1,100
d2s0,3,12167,-26090.9289065,-26093.3495408,1,100
d2s0,3,12321,-26420.5545157,-26422.987946,1,100
d2s0,3,12544,-26899.7392228,-26902.2177158,1,100
d2s0,3,12769,-27381.3147655,-27383.8136431,1,100
d2s0,3,12996,-27867.2751154,-27869.7992007,1,100
d2s0,3,13225,-28358.1012667,-28360.6328821,1,100
d2s0,3,13456,-28854.0611638,-28856.5791786,1,100
d2s0,3,13689,-29355.2859014,-29357.8338585,1,100
d2s0,3,13824,-29645.0706888,-29647.5896015,1,100
d2s0,3,13924,-29859.7544781,-29862.2587132,1,100
d2s0,3,14161,-30369.1600966,-30371.6596363,1,100
d2s0,3,14400,-30881.1855708,-30883.6870005,1,100
d2s0,3,14641,-31397.4728383,-31399.9755313,1,100
d2s0,3,14884,-31915.1934872,-31917.6816531,1,100
d2s0,3,15129,-32439.6493263,-32442.1420616,1,100
d2s0,3,15376,-32967.2706516,-32969.7805772,1,100
d2s0,3,15625,-33498.8900781,-33501.4234241,1,100
d2s0,3,15876,-34035.0847035,-34037.6115313,1,100
d2s0,3,16129,-34575.827825,-34578.3546543,1,100
d2s0,3,16384,-35124.346455,-35126.9147333,1,100
d2s0,3,16641,-35676.6098435,-35679.1432226,1,100
d2s0,3,16900,-36232.5202723,-36235.0275868,1,100
d2s0,3,17161,-36794.5464663,-36797.0844978,1,100
d2s0,3,17424,-37357.5874651,-37360.1224756,1,100
d2s0,3,17576,-37682.7732565,-37685.3352023,1,100
d2s0,3,17689,-37926.1148706,-37928.6838423,1,100
d2s0,3,17956,-38500.7166721,-38503.2565174,1,100
d2s0,3,18225,-39079.4958736,-39082.0459953,1,100
d2s0,3,18496,-39659.6016646,-39662.1591208,1,100
d2s0,3,18769,-40245.6680879,-40248.2137324,1,100
d2s0,3,19044,-40835.7969287,-40838.3467894,1,100
d2s0,3,19321,-41433.1081348,-41435.6652702,1,100
d2s0,3,19600,-42029.7620394,-42032.2970288,1,100
d2s0,3,19683,-42207.5332857,-42210.0793655,1,100
d2s0,3,19881,-42631.823096,-42634.3626737,1,100
d2s0,3,20164,-43238.4402823,-43240.9623741,1,100
d2s0,3,20449,-43851.3394039,-43853.8553183,1,100
d2s0,3,20736,-44467.5549186,-44470.0416409,1,100
d2s0,3,21025,-45086.9776689,-45089.4307462,1,100
d2s0,3,21316,-45713.0005191,-45715.4945104,1,100
d2s0,3,21609,-46340.9251168,-46343.407264,1,100
d2s0,3,21904,-46973.7895441,-46976.283447,1,100
d2s0,3,21952,-47076.2300195,-47078.7249897,1,100
d2s0,3,22201,-47610.5023136,-47613.0150519,1,100
d2s0,3,22500,-48254.4720605,-48257.0383302,1,100
d2s0,3,22801,-48899.1918378,-48901.7456327,1,100
d2s0,3,23104,-49548.9344428,-49551.486092,1,100
d2s0,3,23409,-50203.5055447,-50206.0429311,1,100
d2s0,3,23716,-50860.3827804,-50862.9081858,1,100
d2s0,3,24025,-51524.0696928,-51526.6273851,1,100
d2s0,3,24336,-52191.6552255,-52194.2192564,1,100
d2s0,3,24389,-52305.8524471,-52308.4051074,1,100
d2s0,3,24649,-52863.0273671,-52865.5857069,1,100
d2s0,3,24964,-53539.3290199,-53541.882567,1,100
d2s0,3,25281,-54219.3119427,-54221.8542207,1,100
d2s0,3,25600,-54903.5832184,-54906.1470186,1,100
d2s0,3,25921,-55590.178832,-55592.7449656,1,100
d2s0,3,26244,-56282.7909098,-56285.3602661,1,100
d2s0,3,26569,-56977.7137913,-56980.25003,1,100
d2s0,3,26896,-57677.3964752,-57679.9215552,1,100
d2s0,3,27000,-57899.419168,-57901.9447076,1,100
d2s0,3,27225,-58381.4245377,-58383.9550125,1,100
d2s0,3,27556,-59089.9139303,-59092.4178424,1,100
d2s0,3,27889,-59802.0718578,-59804.5467636,1,100
d2s0,3,28224,-60519.4047609,-60521.8537952,1,100
d2s0,3,28561,-61242.4727383,-61244.9500468,1,100
d2s0,3,28900,-61969.3412675,-61971.8054428,1,100
d2s0,3,29241,-62703.4877985,-62705.9350606,1,100
d2s0,3,29584,-63431.6310183,-63434.0559851,1,100
d2s0,3,29791,-63877.4130075,-63879.8411499,1,100
d2s0,3,29929,-64173.7768915,-64176.2124789,1,100
d2s0,3,30276,-64916.805626,-64919.2085797,1,100
d2s0,3,30625,-65663.659415,-65666.069423,1,100
d2s0,3,30976,-66415.8800893,-66418.304055,1,100
d2s0,3,31329,-67173.60534,-67175.9855566,1,100
d2s0,3,31684,-67938.0430466,-67940.4756405,1,100
d2s0,3,32041,-68706.5754735,-68709.0417847,1,100
d2s0,3,32400,-69475.3417082,-69477.7760292,1,100
d2s0,3,32761,-70250.062921,-70252.5038316,1,100
d2s0,3,32768,-70264.8228286,-70267.265752,1,100
d2s0,3,33124,-71028.0035967,-71030.4286041,1,100
d2s0,3,33489,-71811.0239915,-71813.4768427,1,100
d2s0,3,33856,-72598.4224232,-72600.8637628,1,100
d2s0,3,34225,-73390.1143729,-73392.5505129,1,100
d2s0,3,34596,-74184.4224183,-74186.8642813,1,100
d2s0,3,34969,-74982.461583,-74984.9150365,1,100
d2s0,3,35344,-75785.5333518,-75787.9982156,1,100
d2s0,3,35721,-76593.152432,-76595.6061639,1,100
